index,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,Hourly,Employer provided,Lower Salary,Upper Salary,Avg Salary(K),company_txt,Job Location,Age,Python,spark,aws,excel,sql,sas,keras,pytorch,scikit,tensor,hadoop,tableau,bi,flink,mongo,google_an,job_title_sim,seniority_by_title,Degree
107,Data Scientist,$72K-$123K (Glassdoor est.),Why choose between doing meaningful work and having a fulfilling life? At MITRE- you can have both. ...,3.2,MITRE 3.2,McLean- VA,Bedford- MA,5001 - 10000,1958,Nonprofit Organization,Federal Agencies,Government,$1 to $2 billion (USD),Battelle- General Atomics- SAIC,0,0,72,123,97.5,MITRE,VA,63,1,0,0,1,1,1,0,0,0,0,0,1,1,0,1,0,data scientist,na,na
108,Data Scientist,$74K-$124K (Glassdoor est.),Data Scientist US Citizenship and a current TS/SCI clearance are required for the position. Job Des...,3.9,The Buffalo Group 3.9,Fort Belvoir- VA,Reston- VA,501 - 1000,2010,Company - Private,IT Services,Information Technology,$100 to $500 million (USD),ManTech- Booz Allen Hamilton- Leidos,0,0,74,124,99.0,The Buffalo Group,VA,11,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,data scientist,na,na
109,Data Analyst,$40K-$73K (Glassdoor est.),The Data Analyst is primarily responsible for the operational execution of data extracts and exchang...,3.1,DentaQuest 3.1,Milwaukee- WI,Boston- MA,1001 - 5000,2001,Company - Private,Insurance Carriers,Insurance,$2 to $5 billion (USD),MCNA Dental Plans- United Concordia- Delta Dental Plans Association,0,0,40,73,56.5,DentaQuest,WI,20,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,analyst,na,na
110,Lead Data Scientist,$102K-$164K (Glassdoor est.),Position Title: Lead Data Scientist Department: Government Services – DISA Status: Full-Time- Regu...,4.1,Redjack 4.1,Silver Spring- MD,Silver Spring- MD,1 - 50,2007,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,-1,0,0,102,164,133.0,Redjack,MD,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,sr,na
112,Data Scientist,$89K-$153K (Glassdoor est.),The Data Scientist will be joining a team of extremely passionate data scientists- product managers-...,3.8,7Park Data 3.8,New York- NY,New York- NY,51 - 200,2012,Company - Private,Research & Development,Business Services,Unknown / Non-Applicable,-1,0,0,89,153,121.0,7Park Data,NY,9,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,data scientist,na,na
113,Data Scientist,$61K-$110K (Glassdoor est.),About Us Founded in Syracuse in 1992- we are a critical response center focused on saving lives and...,4.7,Rapid Response Monitoring 4.7,Syracuse- NY,Syracuse- NY,501 - 1000,1992,Company - Private,Security Services,Business Services,Unknown / Non-Applicable,COPS Monitoring- National Monitoring Center- Affiliated Monitoring,0,0,61,110,85.5,Rapid Response Monitoring,NY,29,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,data scientist,na,M
116,Data Scientist- Rice University,$65K-$110K (Glassdoor est.),Trilogy Education partners with universities to offer programs in Web Development- Data Analytics- U...,4.3,Trilogy Ed 4.3,Houston- TX,New York- NY,1001 - 5000,2015,Subsidiary or Business Segment,Education Training Services,Education,Unknown / Non-Applicable,General Assembly- Kaplan University- Ironhack,0,0,65,110,87.5,Trilogy Ed,TX,6,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,data scientist,na,na
117,Senior Data Scientist,$200K-$275K(Employer est.),Who we want: Are you committed to using your talents in research and advanced analytics to give glob...,4.2,Gallup 4.2,Washington- DC,Washington- DC,1001 - 5000,1935,Company - Private,Consulting,Business Services,Unknown / Non-Applicable,Advisory Board- Booz Allen Hamilton- McKinsey & Company,0,0,200,275,237.5,Gallup,DC,86,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,sr,M
118,Data Engineer,$68K-$123K (Glassdoor est.),Company Description CapTech is a team of master builders- creators- and problem solvers who help cl...,3.9,CapTech 3.9,Charlotte- NC,Richmond- VA,1001 - 5000,1997,Company - Private,IT Services,Information Technology,$100 to $500 million (USD),Accenture- North Highland- Deloitte,0,0,68,123,95.5,CapTech,NC,24,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,data engineer,na,M
119,Senior Data Scientist,$80K-$129K (Glassdoor est.),We are AAM. We have the POWER to move the world. At AAM- we're looking for associates who push boun...,3.3,American Axle & Manufacturing 3.3,Southfield- MI,Detroit- MI,10000+,1994,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$5 to $10 billion (USD),-1,0,0,80,129,104.5,American Axle & Manufacturing,MI,27,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,data scientist,sr,M
120,Financial Data Analyst,$41K-$72K (Glassdoor est.),CentralReach is a leading provider of end-to-end practice management and clinical solutions that ena...,4.7,CentralReach 4.7,Matawan- NJ,Pompano Beach- FL,201 - 500,2012,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,DataFinch Technologies- Accupoint Software Solution- CodeMetro,0,0,41,72,56.5,CentralReach,NJ,9,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,analyst,na,na
122,Senior Data Analyst,$39K-$71K (Glassdoor est.),Integrate is a rapidly growing- venture-backed enterprise SaaS business that helps B2B marketers gro...,4.3,Integrate 4.3,Phoenix- AZ,Phoenix- AZ,201 - 500,2010,Company - Private,Enterprise Software & Network Solutions,Information Technology,$25 to $50 million (USD),-1,0,0,39,71,55.0,Integrate,AZ,11,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,analyst,sr,na
123,Research Scientist,$38K-$85K (Glassdoor est.),Research Scientist Location Nebraska - Omaha Specialty Facility Apply Now Job Title: Research ...,2.9,Boys Town Hospital 2.9,Omaha- NE,Omaha- NE,1001 - 5000,1977,Hospital,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,Nebraska Medicine- Children's Hospital & Medical Center- Methodist Health System - NE and IA,0,0,38,85,61.5,Boys Town Hospital,NE,44,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,other scientist,na,P
